No,Produk,Ulasan,Rating
29,Missha Airy Fit Sheet Mask Rice,Auto glowing habis pake masker ini tekstur nya enak ga yang thick bgt gitu habis pake masker ini rasanya tambah lembab trus terhidrasi bgt kulitku. Sejauh ini gaada reaksi macem2 di kulit malah bikin glowing. Biasanya aku pake malem hari biar kulit jd calming,5
30,Missha Airy Fit Sheet Mask Rice,Sheet mask missha emang udah favorit lamaaa! Suka banget sama tekstur nya dia bikin muka moisturized bangeeeettt!! Affordable juga sering diskon hehehe,5
31,Breylee Sheet Mask Vitamin C,Untuk kulit sensitif hati hati yaa kalo ga cocok pasti langsung kemerahan.. di aku belum 5 menit udah cabut efeknya malah panas dan gatal gatal.. entah produknya yang ga bagus atau memang kulitku yang terlalu sensitif.,1
32,Breylee Sheet Mask Vitamin C,kaget murah bangett sering diskon gitu hahahhahhasebenernya yang ga terlalu gimana mana gitu sih cuma buat nyerahin di aku agak lama ajaaa tp bagus kok,2
33,Breylee Sheet Mask Vitamin C,aku udah pernah pake ini sblm kasih ini ke temen. sebenernya ga ngaruh sih utk mencerahkan. efek melembapkan juga ga seberapa dan dia kayak ada wangi nya gt yg aku kurang suka dan klo kelamaan bikin gatel. tp di temenku cocok jd tgt jenis kulit msg2 ya,2
34,Breylee Sheet Mask Vitamin C,Sheetmask ini okelah untuk melembabkan and instant mencerahkan but it doesn’t do much di kulitku. cuma bagus aja untuk kulit kamu yg lagi butuh hidrasi.,2
35,Breylee Sheet Mask Vitamin C,I would say this is a below average face mask in terms of serum consistency and mask texture. The actual mask is thicker than most in the market and it leaves a sticky feeling after using it.,2
36,Breylee Sheet Mask Vitamin C,beli pas diskon dan kayak masker biasa ajah cuman emang dingin pas taroh di kulkas dulu gitu. tipis juga maskernya mau beli pas diskon lagi dulu ajah dari sociolla,2
37,Breylee Sheet Mask Vitamin C,Kulitku kombinasi pakai pertama kali sisi hidungku jadi kering dan perih... mungkin emang aku ga cocok pakai Skincare bahan VIT C aja kali ya... seger sih dan pas masker dibuka jadi cerah (bukan putih ya tapi cerah segar) cuma menurutku kandungannya terlalu tajam... yg sensitif perlu dipertimbangkan lagi untuk beli...,3
38,Breylee Sheet Mask Vitamin C,harganya lebih murah dari sheetmask lain. teksturnya juga ringan cepat nyerap ke kulit. tpi yg jadi minusnya ituu untuk lubang mata samaa mulutnya bnr2 ga bikin nyaman. mukaku tergolong kecil kalo pake sheetmask merk lain pasti kebesaran. tpi yg punya breylee ini big no bgt :'( lubang untk matanya kecil yg bikin sangat amat tidak nyaman kalo dipake ditambah lgi kalo essencenya kena ke mata tuh risih bgttt. di bagian mulut bahkan gaada bolongannya alias cuma di potong bentuk garis aja. baru kali ini pake sheetmask tpi ga nyaman bgt,3
39,Breylee Sheet Mask Vitamin C,rada bingung dengan bentuk sheet nya yang lebar banget posisi mata mulut hidung jadi ga sesuai ga nyamannya di situ aja kalau untuk effectifitasnya cukul melembabkan kok. variant vit. c ga ada rasa pedih cekit cekit di kulit wajah,3
40,Breylee Sheet Mask Vitamin C,di muka aku yang sensitif aku ga merasa perih. Menurut aku essensce yang ada di maskernya teroalu banyak jadi pada saat digunakan rasanya banjir dldi mjks,3
41,Breylee Sheet Mask Vitamin C,sheetmask yang murah dangsn kualitas ok untuk yang varian vitamin c ini cukup mencerahkan lembabnya dapet aromanya segar coba jiga yang pome granat,3
42,Breylee Sheet Mask Vitamin C,Kalo menurut aku serumnyaa terlaluu agak lengket gitu sebenernya bukan serum yang kaya air sejauh ini sih gakenapa2 pakee produk ini & harganya jugaa murcee,3
43,Breylee Sheet Mask Vitamin C,heet mask nya untuk size wajah aku kurang lebar krn bagian mata kayak ketutup gitu jadinya. Tekstur essencenya kental gitu thick moisture nya B aja. After taste nya lembap aja gitu. Untuk daily mask masi okelah.,3
44,Breylee Sheet Mask Vitamin C,iseng juga coba another varian face mask dari breylee. Ya gitu ajaa ga yang gimana-gimana. enak nyegerin lebih seger kalau dimasukin ke kulkas duluuu. mungkin harus coba beberapa kali biar efeknya kerasa kali ya,3
45,Breylee Sheet Mask Vitamin C,beli ini ga sengaja karena kebetulan diskon. Lumayan bagus kok. Sheetnya pas di muka jadi nge-set nya mudah. Produknya ngelembabin tp afternya yaudah sih biasa aja.,3
46,Breylee Sheet Mask Vitamin C,Not very moisturizing sebenernya ada harga ada rupa sihh kebetulan ini emg affordable bgt tp menurutku ada yg lebih worth it dengan harga ga jauh beda. The smell is also kind of off putting its not exactly bau obat tp idk what it is.,3
47,Breylee Sheet Mask Vitamin C,untuk sheet mask harga segini lumayan banget essenceny cukup untuk wajah dan leher ukuran sheetmaskny jg pas dan lumayan untuk melembabkan kulit wajah,4
48,Breylee Sheet Mask Vitamin C,Dilihat dari review orang menarik dan bagus. Packaging baik produk original produk belum dicoba. Baru pertama kali di cobaSemoga cocok di kulit aku,4
49,Breylee Sheet Mask Vitamin C,tekstur maskernya agak cair terus essence nya lumayan lama meresap tapi lumayan buat melembabkan packaging nya kayak masker pada umumnya harganya terjangkau.,4
50,Breylee Sheet Mask Vitamin C,an ordinary mask maskernya lembut enak langsung nempel pas dipake  cukup melembabkan juga wanginya juga ga terlalu menyengat not bad tapi bukan yg wah juga,4
51,Breylee Sheet Mask Vitamin C,Cukup oke. Beli karena gabut buat nambah2in keranjang. Dipake cukup oke mungkin harus sering2 rutin pakek nya spy tau efektivitasnya. Hoho but worth the price,4
52,Breylee Sheet Mask Vitamin C,Masker yang affordable dan setelah pemakaian bikin muka keliatan lebih cerah dan bersih. Essencenya juga melimpah jadi bisa diratain lagi ke muka setelah pemakaian maskernya,4
53,Breylee Sheet Mask Vitamin C,Fix ini enak banget sih sheetmasknya abis pakai beneran rasa cerahan dikitttt dan glowing banget. Isinya juga banyak bisa dipakai ke tangan atau kaki hehe,5
54,Breylee Sheet Mask Vitamin C,Varian kesukaan memcerahkan secara instan hhe. Lembabnya dapat klaimnya dapat. Paling suka sm lembar sheetmasknya sndri yang tipis lembut. Lucu n gemes aja pas sudah dipakai berasa nyatu dengan kulit wajah,5
55,Breylee Sheet Mask Vitamin C,sheetmask emang penyelamat banget buat aku yang mager untuk maskeran disaat kulit lagi butuh kelembaban aku juga suka pakaikan masker ini ke ibu aku,5
56,Breylee Sheet Mask Vitamin C,Harga affordable formulanya enak banget cukup melembabkan bisa untuk daily sheet mask. Apalagi pas ada promo harganya bisa lebih murah lagi masker ini,5
57,Breylee Sheet Mask Vitamin C,baguss saya sudah pernah menggunakan produk ini sebelumnya dan saya suka banget karena wajah saya lebih terlihat cerah dari pada sebelumnya terimakasih,5
58,Mediheal Teatree Essential Mask,Tidak seperti review2 yg ada tidak ngaruh ke jerawat malah jerawat makin banyak dan jerawat kecil jadi besar. Tidak seperti yang di harapkah. Hiks hiks hiks aku sedih udh beli banyak.,1
59,Mediheal Teatree Essential Mask,Padahal kata orang orang bagus untuk ngilangin jerawat aku pakai ini waktu ada jerawat satu aja langsung nambaj jadi 3 jerawat. Texturenya tuh lengket banget bikin muka greasy aku nggak ngerti kenapa pada suka masker ini sih beneran.,1
60,Mediheal Teatree Essential Mask,dari dulu pgn bgt produk inni soalnya suka bruntusan dan ktnya produk ini bisa membantu calming tp blm kesampean hiksss sebel bgt pdhl srg bgt tbtb ada jerawat atau bruntusan tbtb,1
61,Mediheal Teatree Essential Mask,bad! pake masker ini berharap minyak berkurang dan jerawat kempes tapi yang ada malah jerawat meradang ga kempes dan muncul jerawat yang lumayan besar. ga cocok pake varian tea tree ,2
62,Mediheal Teatree Essential Mask,Banyak banget yang cocok sama masker ini tapi sayangnya aku engga mungkin karena aku memang ga cocok sama tea tree karena udah beberapa pake produk yang ada tea treenya langsung beruntusan,2
63,Mediheal Teatree Essential Mask,Padahal aku udah berharap banget pengen cocok sama produk ini. eh ternyata aku ga cocok sama sekali muka aku langsung breakout parah. Sedih banget rasanya untung belinya pas diskon ehehe,2
64,Mediheal Teatree Essential Mask,Aku acne prone skin yang reaktif banget sama produk yang baru dicoba. Pake malem kalo pagi gak cocok pasti langsung jerawatan. Ini salah satu produk yang gak cocok sama aku,2
65,Mediheal Teatree Essential Mask,jadi kemarin diriku baru mencoba sheetmask ini. menurut reviewnya orang2 tuh bagus kaan terus aku coba pas emang lagi ada jerawat gitu. tapi b aja... ga ada memberikan efek apa2... essencenya kental jadinya lengket banget gitu trus sampai besok pagi tuh masih tetep lembab,2
66,Mediheal Teatree Essential Mask,awalnya nggak ngeuh ini teatree.aku asal make aja. aku pakenya malem kan setelah make sih oke oke aja tapi setelah bangun tidur... jejeng ada jerawat satu muncul dan itu jerawat mendem. kaget banget dan pas liat eh ternyata oh tenyta dia ada teatreenya hufft menyebalkan syekali,2
67,Mediheal Teatree Essential Mask,Kulitku yang normal to dry pake ini malah jerawatan. Sebelum pake ada 2 jerawat. Setelah pake besoknya lgsg tumbuh 2 jerawat baru lainnya. Sedangkan 2 jerawat lama juga ga mateng mateng pake ini.,2
68,Mediheal Teatree Essential Mask,2 hari pemakaian lumayan bagus tapi pada hari ke 3 muncul jerawat kecil-kecil dan merah banget disekitaran daerah bibir. Lama hilang dan bekasnya jadi menghitam. Padahal ini cocok dulu tapi ntah mengapa tiba-tiba gak cocok.,2
69,Mediheal Teatree Essential Mask,Hmmm produk ini sayangnya ga ngaruh apa2 di muka ku yg lumayan minyakan dan jerawatan stau aku tea tree bagus buat wajah acne gitu tapi gatau knapa sheet mask ini ga cocok,2
70,Mediheal Teatree Essential Mask,Varian kesukaan memcerahkan secara instan hhe. Lembabnya dapat klaimnya dapat. Paling suka sm lembar sheetmasknya sndri yang tipis lembut. Lucu n gemes aja pas sudah dipakai berasa nyatu dengan kulit wajah,2
71,Mediheal Teatree Essential Mask,di aku sheetmask ini mudah bgt kegeser. tapi ini sheetmask enak dah. lembarannya tipis tp ga gampang robek. essencenya juga banyaak. kalau pake ini jerawat jg gampang kering. tapi essencenya kaya agak lengket gt ya jd kalau pagi2 msh kerasa lengketnya tapi melembabkan juga. pokoknya enak daah,3
72,Mediheal Teatree Essential Mask,Mask ini bisa meredakan kulit yang stress dan nenangin kulit yang iritasi. Buat aku yang bermasalah sama jerawat juga cocok nih karena tea tree bagus buat jerawat.,3
73,Mediheal Teatree Essential Mask,pake ini enak sensasinya dingin menenangkan jadi masih suka simpen essencenya haha minusnya sih aku ga suka sama wanginya yang kaya minyak kayu putih lumayan mengganggu belum tau efeknya setelah pake 2x kayanya sama aja,3
74,Mediheal Teatree Essential Mask,Ukuran sheetmask pas di wajah gak terlalu besar. Tekstur kertasnya lembut dan ada watermarknya hihi.. Essencenya not too much. It smells good for me bcs I dont have any problems with tea tree dan claimnya cocok utk kulitku yg normal to oily. It also moisturize my skin well!,3
75,Mediheal Teatree Essential Mask,Masker mediheal ini aku dapet dari socoboxku yg pertama dan setelah aku coba untuk sekali pemakaian sih aku ga liat efek yang signifikan banget ya buat kulitku terutama pada spot yang berjerawat tapi dalam melembabkan dan mencerahkan ada efeknya mungkin masker ini harus dipakai beberapa kali secara teratur. Tapi untuk wanginya sendiri sih aku suka dan juga essence yang ada didalamnya sangat banyak dan tidak lengket hihi,3
76,Mediheal Teatree Essential Mask,Kandungan tea tree pasa sheet mask mediheal ini dapat menenangkan iritasi kulit dan terasa segar tanpa rasa lengket setelah menggunakan nya. Dan juga dapat mengontrol produksi minyak di kulit wajah,3
77,Mediheal Teatree Essential Mask,sukaaaaaa bangeeeettt. cocok bgt di kulitt akuu. jerawat langsung kempes seketika. dan calming bruntusan dimuka gak terasa berminyak atau lengket ini lgsg nyerep ke muka,3
78,Mediheal Teatree Essential Mask,Awalnya takut ngga cocok pas pertama kali coba pake sheet mask ini karena muka ku yg cepet berminyak. Tapi pas udah dicoba hasilnya emang oke banget muka ku jadi lebih segar dan lembab dan yg paling ku suka sheet mask ini juga menenangkan kulit yg berjerawat. Setelahnya aku ketagihan buat beli sheet mask ini terus? apalagi dipake pada saat di waktu santai. Sukaa bangetttt.,3
79,Mediheal Teatree Essential Mask,baru pertama kali coba tapi udah buat jatuh cinta banget apalagi untuk wajah sensitif berjerawat pass cocok banget. tapi oil nya dikit banget jadi buat cepat kering,3
80,Mediheal Teatree Essential Mask,Hmm agak b ajasih kalo dimukaku. Pdhl biasanya cocok bgt sm segala jenis tea tree even yg kenceng sekalipun. Tp pas abis pake ini kyk gaada perubahan,3
81,Mediheal Teatree Essential Mask,Penasaran banget ama ini masker. Pas dateng langsung coba pas dipake enak buanget muka. Tapi sayang pas bangun ada 1 jerawat gede yang numbuh terus kayak bisul sampai sekarang belom reda-reda. (pakai tanggal 12 Desember 18 sekarang tanggal 19 Desember 18). Ntah kayaknya emang ga cocok sama tea tree. Beneran emang dingin dingin gitu di muka seger tapi nimbulin breakout di aku. Repurchase? NO,3
82,Mediheal Teatree Essential Mask,Pertama kali nya nyobain sheet mask mediheal ini ternyata emg sebagus itu buat ngatasin jerawat. Jelas aroma nya tea tree cuma ga terlalu strong bgt essence nya jg lumayan banyak. Dipake malem pas pagi nya muka lgsg lembab trs jerawat yg kecil lgsg kering.,3
83,Mediheal Teatree Essential Mask,Gua make masker beginian. Niatnya nyoba. Enak bener dah. Adem terus ngangkat kotoran di kulit gua. Lebih seger jadinya. Suka banget gua sama ini masker atu,3
84,Mediheal Teatree Essential Mask,Banyak yang review heetmask varian ini tuh bagus dan gue udah cobain emang beneran bagus sih.. gimana ya jelasinnya :D pokoknya kalo ngadain diskon lagi bakal repurchase,3
85,Mediheal Teatree Essential Mask,direkomendasiin sama kakak dan temen-temenku pas aku lagi jerawat. di mereka langsung kelihatan hasilnya tapi di tempatku masih belum kelihatan mungkin karena baru pemakaian kedua,3
86,Mediheal Teatree Essential Mask,Sheet mask ini cocok banget buat kalian yang punya msalah jerawat karena pas aku pakai kulitku lagi jerawatan dan langsung agak calm. Essencenya pas nggak terlalu banyak dan ringan. Lembarannya lembut ada tulisan mediheal dan pas di wajah.,3
87,Mediheal Teatree Essential Mask,Aku lupa apa asa scent tea treenya atau gak. Kayaknya sih tipis. Bikin muka adem. Masknya juga lumayan pas di muka aku. Cuma pas unfold agak susah karena rapet banget. Essencenya juga kentel gak watery. Jadi nempel di muka. Gak bikin muka becek juga. Essencenya ga banyak emang. Tapi pas buat ditetesin ke muka ditepuk-tepuk setelah maskeran. Dia ga bikin jerawat aku kempes sih.,3
88,Mediheal Teatree Essential Mask,Salah satu tipe masker mediheal yang kurang cocok di wajahku padahal mukaku termasuk tipe yang normal. Entah mengapa setelah malamnya ku pakai masker ini keesokan harinya jerawat bruntusanku malah bertambah banyak,3
89,Mediheal Teatree Essential Mask,Aku suka banget sama Teatree Care Soulution Essential Mask EX nya mediheal ini pas di buka kemasan nya sheet nya lumayan tipis dan sisa air nya lumayan banyak di bagian leher aku biasa nya pakein juga sisa air nya pas di pake ademm banget..,4
90,Mediheal Teatree Essential Mask,"Suka banget sama sheet mask dari mediheal ini aku pake yang varian ini karena aku klo abis makeup & ga cocok sama makeupnya pasnti aku pakai ini unyuk ngurangin merah"" dipipiku",4
91,Mediheal Teatree Essential Mask,Aku suka banget sama Teatree Care Soulution Essential Mask EX nya mediheal ini pas di buka kemasan nya sheet nya lumayan tipis dan sisa air nya lumayan banyak di bagian leher aku biasa nya pakein juga sisa air nya pas di pake ademm banget,4
92,Mediheal Teatree Essential Mask,Sumpah ya sheetmask mediheal tuh parah bagusnya. Ini essencenya banyak banget sampe sisanya bisa buat oles ke leher sama tangan. Pas dipake adem banget dan ga lengket jadi essencenya cepet nyerap ke kulit muka. Abis pake ini mukaku jadi seger banget redness berkurang jerawat sama bruntus calm karna mungkin ini ada kandungan tea treenya. Kalo pake rutin kayanya bisa bener-bener ngempesin jerawat dan bruntus deh. Harganya emang pricey tapi ini bagus! Wajib repurchase!,4
93,Mediheal Teatree Essential Mask,"MEDIHEAL Teatree Care Solution Essential Mask EX masker"" dari mediheal ini cocok banget sama jenis kulit aku karna bener"" menyerap minyak"" diwajah aku dan jerawat"" ku ngikut ilang dong karna dari minyak hilang pun jerawat juga pergii jadi para leadys"" jangan bingung"" lagi cari masker yg manjur sesuai dengan jenis kulit kalian karna MEDIHEAL pun udh ada semua jenis kulit kalian jadi harus pada cobain niih??",4
94,Mediheal Teatree Essential Mask,Selalu suka dengan masker ini.. Praktiss bisa dibawa kemana mana dan langsung bisa digunakan aku baru 2minggu memakai masker dari mediheal dan langsung cocok.,4
95,Mediheal Teatree Essential Mask,Sheetmask pertama yang aku coba itu merk Mediheal karena banyak direkomendasiin sama orang-orang. Setelah nyoba engga heran sih kenapa banyak banget yang ngerave sheetmask ini karena kualitasnya emang bagus banget.,4
96,Mediheal Teatree Essential Mask,Maskernya banyak bgt serummnya gak pelit dinginnnn dan gak cepet kering. enak banget di pake nya cuma sayang kalo di buka serumnya banyak sisa di bungkusnya hehehe,4
97,Mediheal Teatree Essential Mask,Aku belum sempat pakai yang jenis ini. tapi dari yang kubaca yang tea tree bagus untuk kulit yang berjerawat. jadi aku coba beli yang ini. harganya juga sang terjangkau. belinya pas lagi diskon 40%,4
98,Mediheal Teatree Essential Mask,First time use mediheal mask. Dan seriously ini enak banget. Makna lembaran maskernya tipiiiis kaya ga pake masker gitu terus gampang nempel juga. Essencenya lumayan banyak tapi agak lengket,4
99,Mediheal Teatree Essential Mask,Favorite sheet mask for acne problems sih ini. Tiap habis pake di malem hari besok paginya jerawat langsung kempes dan muka jadi lembab. Essencenya juga banyak banget tanpa ga bikin lengket. Love it dah pokoknya,4
100,Mediheal Teatree Essential Mask,Sheetmask yang bener-bener mantul alias mantap betulll. Essence-nya ga bikin lengkeng dikulit wajah. Essence banyak juga pulakk. Setelah pemakaian kulit jadi lembab kenyel dan cerah. Jerawat jadi kering. Kertasnya nggak terlalu tipis nggak terlalu tebel juga.,4
101,Mediheal Teatree Essential Mask,Salah satu varian yang aku suka untuk masalah kulitku kalo sedang muncul acne bahkan bruntusan untuk bikin jerawat cepet minggat yah ini yang tea tree. Wajah jadi lebih cerah halus dan kenyal.,5
102,Mediheal Teatree Essential Mask,Waktu itu penasaran karena banyak yang bilang bagus.. dan tergiur juga sih karena memang ditujukan untuk jenis kulit seperti aku.. berminyak + sensitif.. Packagingnya aku suka imut banget.. Dingin + segar juga pas di pake.. dalam sekali pake aku puas sih.. secara beli lagi harganya ehemm banget kan untuk sebuah sheetmask.. But worth it lah.. rekomended juga.. must buy and try..,5
103,Mediheal Teatree Essential Mask,Sheet mask mediheal emang lagi lagi jadi yang nomor 1 diantara semua sheet mask yang pernah aku pake. Apalagi varian tea tree ini bener” kerasa banget manfaatnya mengurangi minyak berlebih dan jerawat kecil kecil aku (lebih seperti beruntusan) langsung keliatan mengempes/lebih mengecil. Pokoknya secintabitu sama sheet mask apa lagi dari brand mediheal,5
104,Mediheal Teatree Essential Mask,Gapernah kecewa sana sheet mask nya medihealseperti yg udah dijelaskn sebelumnya. Untuk varian tea tree ini lumayan ampuh digunakan untuk perawatan jerawat,5
105,Mediheal Teatree Essential Mask,Mediheal Teatree Care Solution Essential Mask EX ini aku suka banget. Apalagi wajah aku yang cenderung berminyak. Suka nya bikin wajah lembab dan masker nya pas di wajah.,5
106,Mediheal Teatree Essential Mask,suka sama produk mediheal. tapi karena harganya yang cukup lumayan mahal jadi lebihi sering beli pas lagi diskon banyak. kemaren beli pas diskon 30%. dipakai enak baunya juga suka,5
107,Garnier Hydrabomb Serum Mask,Ekspektasi aku buat produk ini kayanya terlalu tinggi. Waktu itu muka lg kering keringnya pas pake ini kirain bakal terhidrasi gitu gataunya malah nambah dry patch sedih huhuhu,1
108,Garnier Hydrabomb Serum Mask,beli yang warna biru. tertarik karena klaimnya yg super hydrating tapi ternyata b aja hehe. essence nya mayan banyak tp yang aku rasain setelah pake malah kayak lengket dan efek ngelembapinnya kurang itupun ilang gitu aja stelah beberapa menit._. harganya jg mahal yaaa ditambah gak ada efek yg aku rasain jd cukup sekali repurchase aja? tp kalo kalian pengen beli sheet mask yg gampang didapet di supermarket mending beli r*hto heheh itu bagus,1
109,Garnier Hydrabomb Serum Mask,Di aku gak cocok pertama kali pakai pipi kiriku kerasa panas & perih setelah 15 menitan kucopot sheetmasknya dari wajah ternyata bagian yang panas dan perih itu jadi merah dan iritasi. but buat aku essence dan ketebalan sheetmasknya pas.,1
110,Garnier Hydrabomb Serum Mask,Baanyak essencenya tapi lengket dah.ntah knpa pas bangun tidur mukaku tuh udah merah merah.gabetah bgt make sheetmask dari si garnier kalo gadibilas karna dia lengketnya tuh gahilang. ,1
111,Garnier Hydrabomb Serum Mask,heran sama masker satu ini. soalnya gede banget jadi pakenya sampe ke rambut dong wkwk. teksturnya sticky dan bikin oily banget. juga ini ga ngefek apa apa di kulitku.,1
